Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%)
Salmon carpaccio,172,10,2.4,43,70,2.7,0.4,1.4,16,8.6,12,0.4,324.7,2,0,0
Beef tartare,246,20,6.5,152,180,2.6,0.6,0.8,15,0.5,45,1.5,256.4,2,0,0
Salmon tartare,229,19,3.3,29,705,3.5,1.8,0.4,12,5.8,18,0.6,333.5,2,0,0
Beignet,291,9.4,2.3,25,150,44,1.4,8.5,6.6,0.4,46,2.3,103.2,2,0,0
Bibimbap,113,2.6,0.7,28,192,18,0.7,1.3,4.2,0.1,27,1,144.3,2,0,0
Beef bibimbap,113,2.6,0.7,28,192,18,0.7,1.3,4.2,0.1,27,1,144.3,2,0,0
Tofu bibimbap,102,2.9,0.5,23,207,16,1.1,1.7,3.9,0.1,50,1.1,147.4,2,0,0
Chicken bibimbap,109,2.2,0.5,28,191,18,0.7,1.3,4.2,0.1,27,0.9,138.5,2,0,0
Ceviche,68,1.1,0.4,31,362,2.2,0.4,0.9,13,1.9,12,0.4,252.4,2,0,0
Mixto ceviche,68,1.1,0.4,31,362,2.2,0.4,0.9,13,1.9,12,0.4,252.4,2,0,0
Ceviche octopus,109,2.9,0.3,44,230,6.8,0.4,1.6,14,0,58,4.4,361,2,0,0
Shrimp ceviche,58,2.1,0.3,46,255,4.9,1.3,1.4,5.6,0,29,0.3,188.5,2,0,0
Scallop ceviche,96,2.5,0.4,19,306,9.5,0.7,1.6,10,0,12,0.5,235.1,2,0,0
Chicken quesadilla,216,10,4.8,37,368,19,1.5,1.3,12,0.1,98,1.4,178.4,2,0,0
Churros,396,29,2,0,168,32,0.7,19,1.8,0,7,0.3,21,2,0,0
Clam chowder,79,3.9,0,0,343,8.3,1,0.2,2.6,0,15,0.5,175,2,0,0
Corn chowder,103,8.2,5.2,25,179,6.5,0.5,1.5,1.4,0.3,18,0.3,101.1,2,0,0
Crab chowder,92,5.8,3.6,45,136,4.1,0.4,1,6,0.1,45,0.3,175.4,2,0,0
Seafood chowder,103,5.9,3.6,36,201,4.8,0.4,1,7.6,0.2,33,0.6,222.8,2,0,0
Salmon chowder,119,6.6,3.5,33,366,7.5,0.6,2.7,8.1,3,163,0.4,203.7,2,0,0
Crab cake,173,11,1.7,75,613,7.1,0.6,1.4,11,0.1,71,1,204,2,0,0
Croque madame,199,11,5.5,82,475,16,0.8,2.9,10,0.9,132,1.4,144.5,2,0,0
Dumpling,230,5.4,1.4,3.5,846,39,1.2,1.6,6.2,0.4,259,0.9,122.4,2,0,0
Soup dumplings,182,6.3,2.1,26,395,21,1.6,1.2,9.9,0.1,37,1.6,186.1,2,0,0
Fried dumpling,211,10,2.3,25,375,20,1.3,1,9.4,0.1,38,1.4,187.4,2,0,0
Chicken dumplings,196,5.3,1.5,49,560,23,1.1,0.4,14,0,30,1.9,362.6,2,0,0
Vegetable dumplings,169,4.2,0.8,29,708,25,1.5,1.4,8.1,0.1,117,2.2,134.2,2,0,0
Shrimp dumpling,189,1.8,0.4,81,638,28,1.2,0.6,13,0,57,1.7,126.8,2,0,0
Edamame,121,5.2,0.6,0,6,8.9,5.2,2.2,12,0,63,2.3,436,2,0,0
Egg benedict,260,19,10,268,690,11,0.8,0.4,11,1.4,74,1.2,202.2,2,0,0
Escargot,90,1.4,0.4,50,70,2,0,0,16,0,10,3.5,382,2,0,0
Falafel,416,37,2.4,0,151,19,4.5,3,5.4,0,37,2.1,196.8,2,0,0
Filet mignon,267,17,6.7,97,54,0,0,0,26,0.3,19,1.7,329,2,0,0
Fish and chips,134,5,0.6,29,273,14,0.9,0.4,8.3,0.4,37,0.4,283.9,2,0,0
Potato chips,532,34,3.4,0,527,54,3.1,0.3,6.4,0,21,1.3,1196,2,0,100
Sweet potato chips,532,32,2.9,0,35,57,8.8,8.8,2.9,0,59,2.1,925,2,0,100
Foie gras,462,44,14,150,697,4.7,0,0,11,0,70,5.5,138,2,0,0
Soup,24,0.8,0.2,4,335,3,0.5,0,1.2,0,5,0.3,24,2,0,0
Bean soup,46,0.7,0.2,0,487,7.7,3.4,1.2,2.4,0,19,0.8,125,2,0,40
Onion soup,293,0.3,0.1,0,8031,65,6.6,4.7,7.5,0,143,1.3,721,2,0,40
Potato soup,116,5.7,2.8,18,154,11,0.7,3.3,5.9,0.7,115,0.5,258.8,2,0,40
Tomato soup,35,0.2,0,0,187,7.4,0.5,4,0.7,0,7.9,0.3,275,2,0,40
Chicken soup,33,0.7,0.1,3,229,4.7,0.9,1,2,0,14,0.3,133,2,0,0
Broccoli soup,90,6.1,3.5,18,367,4.9,0.8,0.7,4.3,0.3,122,0.3,120,2,0,40
Garlic bread,350,17,5.3,0,544,42,2.5,3.7,8.4,0.2,27,3.1,103,2,0,0
Garlic breadstick,343,13,3,7,539,44,2.4,1.1,12,0,87,4.7,132,2,0,0
Gnocchi,201,1.2,0.3,29,14,41,2,0.6,6,0.2,13,2.1,252.7,2,0,0
Hot dog,322,29,12,58,852,2.7,0,1.3,12,1,11,1.2,252,2,0,0
Macaron,384,17,6.5,6.6,157,53,4.3,46,7.5,0,59,3.2,268.6,2,0,0
Mussels,172,4.5,0.9,56,369,7.4,0,0,24,0,33,6.7,268,2,0,0
Paella,183,9.3,2.6,47,336,14,0.4,1.1,10,0.2,21,0.8,166.1,2,0,0
Veggie paella,95,1.9,0.3,0,2.4,17,1.3,2.2,2.2,0,14,0.4,131.1,2,0,40
Seafood paella,169,7.9,2.3,20,299,16,0.2,0.9,7.7,0.2,11,0.9,173.1,2,0,0
Samosa,261,17,7.1,27,423,24,2.1,1.6,3.5,0.2,17,0.7,189.1,2,0,0
Chicken samosa,188,8.3,1,11,311,22,1.9,1.5,6.9,0,20,1.7,262.2,2,0,0
Vegetable samosa,261,17,7.1,27,423,24,2.1,1.6,3.5,0.2,17,0.7,189.1,2,0,40
Huevos ranchero,143,9.5,2.9,53,347,8.7,2.6,1.1,6.3,0.5,61,1,265.4,2,0,0
Sticky rice,136,1.1,0.1,0,166,28,0,3.5,2,0,1.5,0.2,22.8,2,0,0
Mango sticky rice,185,9.2,8.1,0,6.1,26,0.6,16,1.9,0,12,1.6,162.4,2,0,40
Xoi,138,2.5,2.2,0,5.5,27,0.8,10,1.8,0,3.7,0.5,32.7,2,0,0
Char siu,152,3.3,1.1,60,291,7.5,0.1,6.7,22,0.3,8,1.1,380.2,2,0,0
Mochi,271,5.6,4.5,4.4,20,54,0.5,36,2.7,0,43,0.8,107.9,2,0,0
Mango mochi,271,5.6,4.5,4.4,20,54,0.5,36,2.7,0,43,0.8,107.9,2,50,0
Strawberry mochi,271,5.6,4.5,4.4,20,54,0.5,36,2.7,0,43,0.8,107.9,2,50,0
Daifuku mochi,209,0.6,0.1,0,92,47,3,22,4.4,0,30,0.8,216.8,2,50,0
Yogurt,63,1.6,1,6,70,7,0,7,5.3,0,183,0.1,234,2D,0,0
Greek yogurt,59,0.4,0.1,5,36,3.6,0,3.2,10,0,110,0.1,141,2D,0,0
Nonfat yogurt,56,0.2,0.1,2,77,7.7,0,7.7,5.7,0,199,0.1,255,2D,0,0
Ice cream,207,11,6.8,44,80,24,0.7,21,3.5,0.2,128,0.1,199,2D,0,0
Ice cream sandwich,237,8.6,2.3,21,129,37,0,19,4.3,0,86,0.3,115,2D,0,0
Ice cream chocolate,216,11,6.8,34,76,28,1.2,25,3.8,0.2,109,0.9,249,2D,0,0
Vanilla ice cream,207,11,6.8,44,80,24,0.7,21,3.5,0.2,128,0.1,199,2D,0,0
Pudding,130,3.8,1,1,142,23,0,17,1.5,0,49,0.1,65,2D,0,0
Bread pudding,188,3.7,2,37,95,36,0.6,28,3.8,0.7,79,0.7,189.4,2D,0,0
Banana bread pudding,295,13,8,69,366,42,1.4,24,3.7,0.2,86,1.2,183.2,2D,0,0
Pumpkin bread pudding,148,4.4,1,33,147,24,1.6,13,4.5,0.6,82,1.3,197.9,2D,0,50
Nutella bread pudding,236,6.2,4.2,53,159,37,1.2,24,5.6,0.6,78,1.8,147.4,2D,0,0
Bread pudding chocolate,226,5.5,2.8,54,157,37,1.1,25,5.4,0.6,72,1.6,137.6,2D,0,0
Banana pudding,164,5.8,4.1,3.7,227,27,0.7,19,2.3,0.5,61,0.1,161.4,2D,0,50
Crepe,165,8.3,4.5,103,182,16,0.5,0.1,5.9,0.8,51,0.7,96.2,2D,0,0
Chocolate crepe,186,7,3.8,85,162,25,0.9,9,5.2,0.7,44,0.9,119.1,2D,0,0
Fruit crepe,97,3.3,1.7,36,74,14,1.4,6.5,3.2,0.3,60,0.4,186.1,2D,0,0
Cheesecake,321,23,9.9,55,438,26,0.4,22,5.5,0.5,51,0.6,90,2D,0,0
Cheesecake pudding,130,3.8,1,1,142,23,0,17,1.5,0,49,0.1,65,2D,0,0
Chocolate cheesecake,374,25,14,90,226,35,1.3,28,5.5,0.2,58,2.4,162.5,2D,0,0
Strawberry cheesecake,218,12,5.4,30,171,27,0.8,20,2.6,0.2,43,0.4,103.6,2D,0,30
Blueberry cheescake,57,0.3,0,0,1,14,2.4,10,0.7,0,6,0.3,77,2D,0,30
Cake,391,18,2.9,75,269,56,0.3,42,3,0.4,62,1.1,53,2D,0,0
Coffee cake,418,23,5.8,32,351,47,2,0,6.8,0,54,1.9,123,2D,0,0
Chocolate cake,389,20,5.9,22,348,53,2.2,40,3.5,0,30,3,270,2D,0,0
Red velvet cake,337,21,13,85,292,33,0.3,23,3.8,0.5,53,1.3,84,2D,0,30
Carrot cake,333,17,6,50,240,42,0.9,29,3.8,0.1,55,1,118.5,2D,0,30
Cookie,492,25,8.1,0,311,65,2,33,5.1,0,21,5.6,171,2D,0,0
Oreo cookie,464,19,5.6,0,388,71,2.9,41,5.2,0,21,12,234,2D,0,0
Chocolate chip cookie,492,25,8.1,0,311,65,2,33,5.1,0,21,5.6,171,2D,0,0
Chocolate cookies,489,33,16,100,361,46,2,41,4.6,0.2,25,2.8,77.3,2D,0,0
Biscuit,353,16,4.3,3,580,45,1.5,2.2,7,0,235,2.9,121,2D,0,0
Egg biscuit,274,16,3.5,180,655,23,0.6,0,8.5,0,60,2.1,175,2D,0,0
Chocolate biscuit,492,22,11,10,269,67,2.2,40,5.5,0,78,1,202.6,2D,0,0
Butter biscuit,467,19,11,117,282,69,0.8,20,6.1,0.4,29,2.2,111,2D,0,0
Waffle,291,14,2.9,69,511,33,0,0,7.9,0,255,2.3,159,2D,0,0
Pancake,227,9.7,2.1,59,439,28,0,0,6.4,0,219,1.8,132,2D,0,0
Pizza,266,9.7,4.5,17,598,33,2.3,3.6,11,0,188,2.5,172,2D,0,0
Pepperoni pizza,282,12,5.1,25,685,32,2.3,3.3,12,0,153,2.5,195,2D,0,0
Cheese pizza,266,9.7,4.5,17,598,33,2.3,3.6,11,0,188,2.5,172,2D,0,0
Chocolate donut,417,20,5.1,57,215,57,2.2,32,4.5,0,213,2.3,106,2D,0,0
Sour cream donut,434,25,11,10,477,47,1.7,18,5.3,0,40,2.5,134,2D,0,0
Frosted donut,421,22,9.2,29,310,49,2,25,5.9,0.1,97,2.3,99,2D,0,0
Grilled cheese,344,22,12,60,834,27,1.3,5.1,11,2.6,609,2.1,174.5,2D,0,0
Butter popcorn,535,30,15,0,763,57,10,0.3,8.4,0,23,2.1,393,2D,0,0
Custard pie,196,7.2,2.6,100,135,27,0.5,18,5.6,1,72,0.9,121.6,2D,0,0
Custard,122,4,2,51,84,18,0,4.8,4,1.2,139,0.3,207,2D,0,0
Flan,145,4,1.8,90,53,23,0,23,4.5,0,83,0.4,118,2D,0,0
Chocolate,535,30,19,23,79,59,3.4,52,7.7,0,189,2.4,372,2D,0,0
Brownie,466,29,7.3,73,343,50,0,0,6.2,0,57,1.8,176,2D,0,0
Cupcake,389,20,5.9,22,348,53,2.2,40,3.5,0,30,3,270,2D,0,0
Mini cupcake,389,20,5.9,22,348,53,2.2,40,3.5,0,30,3,270,2D,0,0
Matcha cupcake,391,18,2.9,75,269,56,0.3,42,3,0.4,62,1.1,53,2D,0,0
Pretzel,384,2.9,0.4,0,1240,80,3.4,2.2,10,0,27,4.6,223,2D,0,0
Croissant,406,21,12,67,467,46,2.6,11,8.2,0,37,2,118,2D,0,0
Egg croissant,310,19,9.7,198,340,26,1.4,6.4,9.7,0.8,44,1.8,122.6,2D,0,0
Chocolate croissant,424,22,13,61,412,48,2.7,17,8.1,0,59,2.1,154.3,2D,0,0
French toast,263,13,6.2,155,284,28,1.3,4.8,8.7,0.9,79,2,115.7,2D,0,0
Apple pie,237,11,3.8,0,201,34,1.6,16,1.9,0,11,0.5,65,2D,0,60
Pumpkin pie,243,9.8,2,26,239,35,1.8,19,3.9,0.1,64,0.9,167,2D,0,60
Sweet potato pie,256,13,6.7,54,155,33,1.5,20,3,0.4,36,0.8,139.3,2D,0,60
Baklava,403,26,9.3,28,281,39,2.4,21,7.2,0,39,1.6,192.6,2D,0,0
Cannoli,293,19,5.9,40,46,23,0.9,7.9,7.5,0.2,106,0.6,106.8,2D,0,0
Mousse,225,16,9.2,140,38,16,0.6,15,4.1,0,96,0.6,143,2D,0,0
Mango mousse,211,14,8.9,44,19,19,0.7,18,3.9,0.6,32,0.1,109.9,2D,0,40
Lemon mousse,115,2.9,1.7,11,267,20,0,0,2.7,0,99,0.1,127,2D,0,40
Pumpkin mousse,206,13,8.4,42,246,21,1.2,19,1.7,0.5,46,0.6,135.9,2D,0,40
Strawberry mousse,204,14,8.7,43,19,18,0.8,16,3.7,0.6,33,0.2,102.5,2D,0,40
Peanut butter mousse,408,39,19,79,214,9.1,1.5,4.2,8.7,0.8,70,0.7,236.4,2D,0,0
Passion fruit mousse,223,8.7,5.5,30,61,33,1,32,4.1,0.3,129,0.4,286.9,2D,0,40
Chocolate mousse,225,16,9.2,140,38,16,0.6,15,4.1,0,96,0.6,143,2D,0,0
Creme brulee,343,30,18,222,27,15,0,15,4.1,1.9,68,0.5,89.5,2D,0,0
Lasagna,156,8.4,4,43,409,9,1,2.9,11,0.3,137,1.2,270.4,2D,0,0
Beef lasagna,156,8.4,4,43,409,9,1,2.9,11,0.3,137,1.2,270.4,2D,0,0
Veggie lasagna,115,6.5,3.6,28,173,7.1,1,1.5,7,0.2,124,0.6,165,2D,0,40
Cheese lasagna,143,6.4,3.4,41,198,13,1.1,1.7,7.7,0.2,117,0.9,148.4,2D,0,0
Turkey lasagna,164,8.4,3.7,32,343,12,1.1,1.9,9.9,0.2,132,1,178.7,2D,0,0
Macaroni and cheese,190,8.3,1.8,3,338,24,1.2,4.3,4.9,0,63,1,129,2D,0,0
Lobster bisque,106,6.6,3.8,34,145,3.7,0.2,2.1,6.5,0.1,44,0.4,140.7,2D,0,0
Tomato bisque,56,4.5,2.7,14,252,3.6,0.8,2.4,1.3,0.2,25,0.6,143.2,2D,0,0
Crab bisque,84,5.8,3.7,34,259,2.3,0.2,1.6,4.3,0,50,0.2,116.4,2D,0,0
Nachos,224,17,7.1,51,317,4.8,0.7,1.8,12,0.1,164,1,228.6,2D,0,0
Nachos cheese,191,14,8.4,44,776,8.4,0.1,2.2,8.3,3,627,0.4,184.2,2D,0,0
Fajita nachos,177,12,4.9,46,292,4.9,0.8,2,12,0.1,138,0.5,188.6,2D,0,0
Pork nachos,183,12,6.1,41,490,10,1,6.3,9.3,0.2,180,0.6,210.9,2D,0,0
Steak nachos,226,18,7.3,53,307,4.8,0.7,1.8,12,0.2,161,0.7,211.7,2D,0,0
Nachos chicken,195,14,5.5,51,327,4.7,0.7,1.8,14,0.1,156,0.6,198,2D,0,0
Veggie nachos,164,11,5,26,263,9.5,2.5,2.1,6.9,0.1,165,0.7,228.7,2D,0,40
Chili nachos,181,12,5.8,34,381,11,2.1,1.5,9.2,0.2,225,1.6,223.3,2D,0,40
Onion ring,356,19,3.4,0,692,41,2.6,4.7,4.9,0,21,0.7,142,2D,0,100
Tiramisu,329,25,15,176,173,20,0.2,12,4.8,0.9,68,0.9,92.5,2D,0,0
Shortcake,314,14,7.3,27,764,41,1.3,4,6,0.2,253,1,98.8,2D,0,0
Strawberry shortcake,172,10,5.6,35,114,19,1.4,8.1,2.4,0.2,74,0.5,121,2D,0,50
Cherry shortcake,216,12,6.9,38,137,25,1.3,12,3.1,0.5,87,1,147.5,2D,0,50
Caramel shortcake,478,30,19,64,203,53,1.7,38,4.1,0,69,1.5,175.5,2D,0,0
Risotto,122,3.9,2.1,11,431,16,0.4,1.4,4.3,0.1,49,0.5,101.7,2D,0,0
Shrimp risotto,122,3.4,1.7,54,544,13,0.3,1.1,8.3,0,58,0.4,116.6,2D,0,0
Chicken risotto,99,2.4,0.5,18,170,10,0.5,1.1,7.7,0.1,16,1,142.8,2D,0,0
Pumpkin risotto,87,2.1,0.6,2.7,131,13,0.5,1.5,2.5,0,27,0.5,143,2D,0,40
Short rib risotto,135,6.6,2.5,22,152,11,0.4,1,7.1,0.1,17,1.3,156.5,2D,0,0
Mushroom risotto,83,3.3,1.3,5.5,91,10,0.3,1.3,2.6,0.1,11,0.3,145.5,2D,0,40
Mashed potato,113,4.2,0.8,1,333,17,1.5,1.4,2,0.2,21,0.3,326,2D,0,100
Mashed sweet potato,154,6.7,4.2,18,76,23,1.6,14,1.4,0.3,52,0.5,202.1,2D,0,100
Mashed cauliflower,90,7.4,4.4,19,305,4.3,2,1.9,2.9,0,50,0.3,136.2,2D,0,100
Poutine,222,14,5.7,27,397,16,1.3,0.3,7.1,0.2,187,0.3,223.4,2D,0,0
Dark chocolate,546,31,19,8,24,61,7,48,4.9,0,56,8,559,2D,0,0
Chocolate banana,223,9.8,5.1,5.8,38,32,3,22,3.7,0,54,0.8,372.8,2D,0,0
Chocolate orange,535,30,19,23,79,59,3.4,52,7.7,0,189,2.4,372,2D,0,0
Muffin,375,16,2.8,30,336,53,1.1,31,4.5,0.1,44,1.3,121,2D,0,0
Egg muffin,228,9.7,3.6,165,617,22,1.1,2.1,14,0,192,2.3,173,2D,0,0
Corn muffin,305,8.4,1.4,26,467,51,3.4,18,5.9,0,74,2.8,69,2D,0,40
Bran muffin,270,7.4,1.1,0,393,48,4.6,8.2,7,0,63,4.2,507,2D,0,40
Berry muffin,375,16,2.8,30,336,53,1.1,31,4.5,0.1,44,1.3,121,2D,0,40
Banana muffin,265,8.3,5,42,421,45,1.7,23,3.6,0.1,44,1.3,188,2D,0,40
Rasperry muffin,375,16,2.8,30,336,53,1.1,31,4.5,0.1,44,1.3,121,2D,0,40
Chocolate chip muffin,340,15,4,25,354,48,1.8,21,5.5,0.4,144,2.3,137.5,2D,0,0
Oils,884,100,6.5,0,0,0,0,0,0,0,0,0,0,3,0,0
Palm oils,884,100,49,0,0,0,0,0,0,0,0,0,0,3,0,0
Sesame oils,884,100,14,0,0,0,0,0,0,0,0,0,0,3,0,0
Vegetable oils,884,100,7.4,0,0,0,0,0,0,0,0,0,0,3,0,0
Coconut oils,892,99,82,0,0,0,0,0,0,0,1,0.1,0,3,0,0
Margarine,717,81,15,0,2,0.7,0,0,0.2,0,3,0.1,18,3,0,0
Butter,717,81,51,215,643,0.1,0,0.1,0.9,0,24,0,24,3,0,0
Cheese,404,33,19,99,653,3.1,0,0.5,23,0.6,710,0.1,76,3D,0,0
Blue cheese,353,29,19,75,1146,2.3,0,0.5,21,0.5,528,0.3,256,3D,0,0
Cheese plate,389,29,17,99,1049,4.9,0,0.3,26,0.5,683,0.4,137.7,3D,0,0
Feta cheese,264,21,15,89,917,4.1,0,4.1,14,0.4,493,0.7,62,3D,0,0
Goat cheese,264,21,15,46,459,0,0,0,19,0.4,140,1.9,26,3D,0,0
Swiss cheese,393,31,18,93,187,1.4,0,0,27,0,890,0.1,72,3D,0,0
Cheddar cheese,404,33,19,99,653,3.1,0,0.5,23,0.6,710,0.1,76,3D,0,0
Parmesan cheese,420,28,15,86,1804,14,0,0.1,28,0.5,853,0.5,180,3D,0,0
Mozzarella cheese,300,22,13,79,627,2.2,0,1,22,0.4,505,0.4,76,3D,0,0
Cottage cheese,98,4.3,1.7,17,364,3.4,0,2.7,11,0.1,83,0.1,104,3D,0,0
Khoa,373,22,14,75,257,27,0,27,18,7.3,633,0.3,912.6,3D,0,0
Hu tieu,66,2.1,0.7,40,142,4.9,0.2,0.3,6.5,0.1,10,0.6,59.1,2,0,0
Bun Rieu,157,8.4,2.9,52,141,7.7,0.5,1.5,12.2,0,20,0.9,151.9,2,0,0
Com tam,178,6,2.1,95,135,18,0,0.1,11.7,0,16,1.5,155.3,2,0,0
Banh beo,220,3,1,80,800,42,2,3,6,0,40,2,130,2,0,0
Bun dau mam tom,278,3.8,0.9,0,500,50,2.1,6.4,9.9,0,173,3.4,127,2,0,0
Banh gio,295,14,3,27,483,34,1,1,8,0,16,1,157,2,0,0
